rodada_id,partida_id,partida_data,clube_casa_id,clube_casa_nome,clube_casa_posicao,aproveitamento_mandante,clube_visitante_id,clube_visitante_nome,clube_visitante_posicao,aproveitamento_visitante,placar_oficial_mandante,placar_oficial_visitante,valida
11,302808,2023-06-22 20:00:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",0,1,True
11,302810,2023-06-22 20:00:00,1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",0,1,True
11,302805,2023-06-22 21:30:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",4,0,True
12,302828,2023-06-24 16:00:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",1,0,True
12,302821,2023-06-24 18:30:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",2,1,True
12,302829,2023-06-24 18:30:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",2,1,True
12,302826,2023-06-24 21:00:00,283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",1,0,True
12,302823,2023-06-25 16:00:00,275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",0,1,True
12,302827,2023-06-25 16:00:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",5,1,True
12,302824,2023-06-25 18:30:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",2,3,True
12,302825,2023-06-25 18:30:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",2,0,True
12,302830,2023-06-25 18:30:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",1,2,True
12,302822,2023-06-26 21:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",1,0,True
13,302853,2023-07-01 16:00:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",1,0,True
13,302851,2023-07-01 18:30:00,262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",2,0,True
13,302859,2023-07-01 18:30:00,265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",1,2,True
13,302857,2023-07-01 21:00:00,285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",0,0,True
13,302854,2023-07-02 11:00:00,264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",0,1,True
13,302852,2023-07-02 16:00:00,263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",2,0,True
13,302856,2023-07-02 16:00:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",2,2,True
13,302858,2023-07-02 16:00:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",2,2,True
13,302860,2023-07-02 18:30:00,1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",277,Santos,14,"['d', 'd', 'd', 'v', 'd']",3,0,True
13,302855,2023-07-03 20:00:00,290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",1,2,True
14,302602,2023-07-08 16:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",0,1,True
14,302610,2023-07-08 16:00:00,1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",1,1,True
14,302606,2023-07-08 18:30:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",0,1,True
14,302608,2023-07-08 18:30:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",3,1,True
14,302603,2023-07-08 21:00:00,275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",1,1,True
14,302604,2023-07-09 11:00:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",4,3,True
14,302601,2023-07-09 16:00:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",2,0,True
14,302605,2023-07-09 16:00:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",0,0,True
14,302607,2023-07-09 18:30:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",0,2,True
14,302609,2023-07-09 18:30:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",1,0,True
15,302625,2023-07-15 21:00:00,263,,1,"['v', 'v', 'v', 'v', 'v']",280,,7,"['v', 'v', 'v', 'e', 'd']",0,0,True
15,306169,2023-07-16 11:00:00,283,,10,"['d', 'v', 'e', 'v', 'e']",294,,18,"['d', 'd', 'v', 'v', 'e']",0,0,True
15,302623,2023-07-16 16:00:00,266,,5,"['e', 'v', 'd', 'v', 'e']",262,,2,"['d', 'v', 'v', 'e', 'e']",0,0,True
15,302627,2023-07-16 16:00:00,276,,4,"['v', 'd', 'v', 'e', 'v']",277,,14,"['d', 'd', 'd', 'v', 'd']",0,0,True
15,302639,2023-07-16 16:00:00,356,,9,"['v', 'v', 'd', 'v', 'd']",1371,,13,"['d', 'd', 'v', 'e', 'v']",0,0,True
15,302635,2023-07-16 18:30:00,285,,11,"['v', 'v', 'e', 'd', 'e']",275,,6,"['d', 'd', 'e', 'e', 'e']",0,0,True
15,302637,2023-07-16 18:30:00,293,,8,"['d', 'v', 'e', 'd', 'v']",265,,16,"['v', 'd', 'd', 'e', 'd']",0,0,True
15,302631,2023-07-17 20:00:00,290,,17,"['v', 'd', 'd', 'd', 'e']",282,,12,"['e', 'd', 'e', 'd', 'e']",0,0,True
15,302629,2023-07-31 21:30:00,264,,15,"['e', 'v', 'd', 'd', 'v']",284,,3,"['d', 'v', 'v', 'v', 'd']",0,0,False
15,302640,2023-07-31 21:30:00,327,,20,"['e', 'd', 'd', 'e', 'd']",267,,19,"['d', 'd', 'v', 'd', 'd']",0,0,False
